epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.001,9,,,
0,,9,,4.684605598449707,
,0.001,19,,,
0,,19,,4.353205680847168,
,0.001,29,,,
0,,29,,4.225644111633301,
,0.001,39,,,
0,,39,,4.214959144592285,
,0.001,49,,,
0,,49,,3.9794485569000244,
,0.001,59,,,
0,,59,,4.012573719024658,
,0.001,69,,,
0,,69,,3.9168972969055176,
,0.001,79,,,
0,,79,,3.652421474456787,
,0.001,89,,,
0,,89,,3.333094358444214,
,0.001,99,,,
0,,99,,3.7634310722351074,
,0.001,109,,,
0,,109,,3.5447468757629395,
,0.001,119,,,
0,,119,,3.2266507148742676,
,0.001,129,,,
0,,129,,3.1797399520874023,
,0.001,139,,,
0,,139,,3.338099956512451,
0,,144,,,3.133566379547119
0,,144,3.8510093688964844,,
,0.001,149,,,
1,,149,,3.4571609497070312,
,0.001,159,,,
1,,159,,3.3626341819763184,
,0.001,169,,,
1,,169,,3.194932460784912,
,0.001,179,,,
1,,179,,3.2545926570892334,
,0.001,189,,,
1,,189,,3.4926722049713135,
,0.001,199,,,
1,,199,,3.1158576011657715,
,0.001,209,,,
1,,209,,2.910627603530884,
,0.001,219,,,
1,,219,,3.059129238128662,
,0.001,229,,,
1,,229,,3.075387716293335,
,0.001,239,,,
1,,239,,2.936311960220337,
,0.001,249,,,
1,,249,,2.7976741790771484,
,0.001,259,,,
1,,259,,3.1965651512145996,
,0.001,269,,,
1,,269,,3.2188892364501953,
,0.001,279,,,
1,,279,,2.805696487426758,
,0.001,289,,,
1,,289,,1.7394299507141113,
1,,289,,,3.099017381668091
1,,289,3.0864944458007812,,
,0.001,299,,,
2,,299,,2.9650206565856934,
,0.001,309,,,
2,,309,,2.9038748741149902,
,0.001,319,,,
2,,319,,2.9629993438720703,
,0.001,329,,,
2,,329,,2.7869277000427246,
,0.001,339,,,
2,,339,,3.0352530479431152,
,0.001,349,,,
2,,349,,2.7740402221679688,
,0.001,359,,,
2,,359,,3.1075363159179688,
,0.001,369,,,
2,,369,,2.9629287719726562,
,0.001,379,,,
2,,379,,2.969082832336426,
,0.001,389,,,
2,,389,,2.7446980476379395,
,0.001,399,,,
2,,399,,3.0987606048583984,
,0.001,409,,,
2,,409,,2.8111214637756348,
,0.001,419,,,
2,,419,,2.787846088409424,
,0.001,429,,,
2,,429,,2.973240375518799,
2,,434,,,3.144190549850464
2,,434,2.90602707862854,,
,0.001,439,,,
3,,439,,2.745760917663574,
,0.001,449,,,
3,,449,,2.6649961471557617,
,0.001,459,,,
3,,459,,2.6997485160827637,
,0.001,469,,,
3,,469,,2.8982596397399902,
,0.001,479,,,
3,,479,,2.639125347137451,
,0.001,489,,,
3,,489,,2.8611040115356445,
,0.001,499,,,
3,,499,,2.5300045013427734,
,0.001,509,,,
3,,509,,2.7493855953216553,
,0.001,519,,,
3,,519,,2.6586270332336426,
,0.001,529,,,
3,,529,,2.9018540382385254,
,0.001,539,,,
3,,539,,2.5073490142822266,
,0.001,549,,,
3,,549,,2.558419942855835,
,0.001,559,,,
3,,559,,2.952509880065918,
,0.001,569,,,
3,,569,,2.6790871620178223,
,0.001,579,,,
3,,579,,1.4376707077026367,
3,,579,,,2.5883593559265137
3,,579,2.738556385040283,,
,0.001,589,,,
4,,589,,2.718419313430786,
,0.001,599,,,
4,,599,,2.703944683074951,
,0.001,609,,,
4,,609,,2.5556373596191406,
,0.001,619,,,
4,,619,,2.947103500366211,
,0.001,629,,,
4,,629,,2.726109027862549,
,0.001,639,,,
4,,639,,2.6887660026550293,
,0.001,649,,,
4,,649,,2.6039514541625977,
,0.001,659,,,
4,,659,,2.568333864212036,
,0.001,669,,,
4,,669,,2.499847650527954,
,0.001,679,,,
4,,679,,2.6815903186798096,
,0.001,689,,,
4,,689,,2.4297142028808594,
,0.001,699,,,
4,,699,,2.635774612426758,
,0.001,709,,,
4,,709,,2.6522560119628906,
,0.001,719,,,
4,,719,,2.5000534057617188,
4,,724,,,2.6559834480285645
4,,724,2.6136116981506348,,
,0.001,729,,,
5,,729,,2.6530826091766357,
,0.001,739,,,
5,,739,,2.6348793506622314,
,0.001,749,,,
5,,749,,2.7515993118286133,
,0.001,759,,,
5,,759,,2.322206974029541,
,0.001,769,,,
5,,769,,2.4656970500946045,
,0.001,779,,,
5,,779,,2.549861431121826,
,0.001,789,,,
5,,789,,2.3849453926086426,
,0.001,799,,,
5,,799,,2.679384231567383,
,0.001,809,,,
5,,809,,2.538550853729248,
,0.001,819,,,
5,,819,,2.2830700874328613,
,0.001,829,,,
5,,829,,2.460993528366089,
,0.001,839,,,
5,,839,,2.5320253372192383,
,0.001,849,,,
5,,849,,2.430722236633301,
,0.001,859,,,
5,,859,,2.568702459335327,
,0.001,869,,,
5,,869,,0.9664874076843262,
5,,869,,,2.377721071243286
5,,869,2.4784183502197266,,
,0.001,879,,,
6,,879,,2.4240050315856934,
,0.001,889,,,
6,,889,,2.4941177368164062,
,0.001,899,,,
6,,899,,2.2684359550476074,
,0.001,909,,,
6,,909,,2.5978434085845947,
,0.001,919,,,
6,,919,,2.3161675930023193,
,0.001,929,,,
6,,929,,2.3387904167175293,
,0.001,939,,,
6,,939,,2.503878593444824,
,0.001,949,,,
6,,949,,2.321716785430908,
,0.001,959,,,
6,,959,,2.332882881164551,
,0.001,969,,,
6,,969,,2.6101155281066895,
,0.001,979,,,
6,,979,,2.631535053253174,
,0.001,989,,,
6,,989,,2.4092421531677246,
,0.001,999,,,
6,,999,,2.209843635559082,
,0.001,1009,,,
6,,1009,,2.328176498413086,
6,,1014,,,2.4417879581451416
6,,1014,2.323870897293091,,
,0.001,1019,,,
7,,1019,,2.3730053901672363,
,0.001,1029,,,
7,,1029,,2.226383686065674,
,0.001,1039,,,
7,,1039,,2.2355809211730957,
,0.001,1049,,,
7,,1049,,2.0850377082824707,
,0.001,1059,,,
7,,1059,,2.096616744995117,
,0.001,1069,,,
7,,1069,,2.3071248531341553,
,0.001,1079,,,
7,,1079,,2.3572206497192383,
,0.001,1089,,,
7,,1089,,2.117649555206299,
,0.001,1099,,,
7,,1099,,2.3881683349609375,
,0.001,1109,,,
7,,1109,,1.9163427352905273,
,0.001,1119,,,
7,,1119,,2.2820327281951904,
,0.001,1129,,,
7,,1129,,2.2782251834869385,
,0.001,1139,,,
7,,1139,,2.4836747646331787,
,0.001,1149,,,
7,,1149,,2.3548059463500977,
,0.001,1159,,,
7,,1159,,1.005547046661377,
7,,1159,,,2.1917154788970947
7,,1159,2.2427315711975098,,
,0.001,1169,,,
8,,1169,,2.1693572998046875,
,0.001,1179,,,
8,,1179,,2.0976061820983887,
,0.001,1189,,,
8,,1189,,1.8756580352783203,
,0.001,1199,,,
8,,1199,,2.124208450317383,
,0.001,1209,,,
8,,1209,,1.8429312705993652,
,0.001,1219,,,
8,,1219,,2.069843053817749,
,0.001,1229,,,
8,,1229,,2.1659955978393555,
,0.001,1239,,,
8,,1239,,1.8171590566635132,
,0.001,1249,,,
8,,1249,,2.153609275817871,
,0.001,1259,,,
8,,1259,,2.0199971199035645,
,0.001,1269,,,
8,,1269,,1.8887126445770264,
,0.001,1279,,,
8,,1279,,1.9969658851623535,
,0.001,1289,,,
8,,1289,,1.9419364929199219,
,0.001,1299,,,
8,,1299,,2.356977939605713,
8,,1304,,,2.5122487545013428
8,,1304,2.089038848876953,,
,0.001,1309,,,
9,,1309,,2.4535813331604004,
,0.001,1319,,,
9,,1319,,2.116787910461426,
,0.001,1329,,,
9,,1329,,2.300081729888916,
,0.001,1339,,,
9,,1339,,2.037463903427124,
,0.001,1349,,,
9,,1349,,1.8776057958602905,
,0.001,1359,,,
9,,1359,,1.924879550933838,
,0.001,1369,,,
9,,1369,,2.114971399307251,
,0.001,1379,,,
9,,1379,,2.035196304321289,
,0.001,1389,,,
9,,1389,,1.9161491394042969,
,0.001,1399,,,
9,,1399,,1.994918942451477,
,0.001,1409,,,
9,,1409,,1.8986148834228516,
,0.001,1419,,,
9,,1419,,1.9355394840240479,
,0.001,1429,,,
9,,1429,,2.041541814804077,
,0.001,1439,,,
9,,1439,,1.971933126449585,
,0.001,1449,,,
9,,1449,,0.6082936525344849,
9,,1449,,,2.1363658905029297
9,,1449,1.9995685815811157,,
,0.001,1459,,,
10,,1459,,1.7402639389038086,
,0.001,1469,,,
10,,1469,,1.8068840503692627,
,0.001,1479,,,
10,,1479,,2.044196605682373,
,0.001,1489,,,
10,,1489,,1.852168083190918,
,0.001,1499,,,
10,,1499,,1.8500808477401733,
,0.001,1509,,,
10,,1509,,2.072157144546509,
,0.001,1519,,,
10,,1519,,2.1516189575195312,
,0.001,1529,,,
10,,1529,,1.8745322227478027,
,0.001,1539,,,
10,,1539,,2.0806307792663574,
,0.001,1549,,,
10,,1549,,1.8516981601715088,
,0.001,1559,,,
10,,1559,,1.9990696907043457,
,0.001,1569,,,
10,,1569,,1.8424592018127441,
,0.001,1579,,,
10,,1579,,1.9744811058044434,
,0.001,1589,,,
10,,1589,,1.907899022102356,
10,,1594,,,1.9546067714691162
10,,1594,1.8992093801498413,,
,0.001,1599,,,
11,,1599,,1.7689249515533447,
,0.001,1609,,,
11,,1609,,1.7170989513397217,
,0.001,1619,,,
